rtl_file_path,netlist_file_path,design,module,recipe_type,area,delay
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_00000080_4_00000004.v,dump/ariane/axi_adapter_00000080_4_00000004_area/1_1_yosys.v,ariane,axi_adapter_00000080_4_00000004,area,1826.888000,3073.30
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_00000080_4_00000004.v,dump/ariane/axi_adapter_00000080_4_00000004_speed/1_1_yosys.v,ariane,axi_adapter_00000080_4_00000004,delay,1429.750000,461.66
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_64_4_00000004.v,dump/ariane/axi_adapter_64_4_00000004_area/1_1_yosys.v,ariane,axi_adapter_64_4_00000004,area,1084.216000,2749.26
openROAD_low_level_modules_yosys_v1/gf12/ariane/axi_adapter_64_4_00000004.v,dump/ariane/axi_adapter_64_4_00000004_speed/1_1_yosys.v,ariane,axi_adapter_64_4_00000004,delay,695.590000,394.38
openROAD_low_level_modules_yosys_v1/gf12/ariane/bht_NR_ENTRIES128.v,dump/ariane/bht_NR_ENTRIES128_area/1_1_yosys.v,ariane,bht_NR_ENTRIES128,area,6665.162000,9366.87
openROAD_low_level_modules_yosys_v1/gf12/ariane/bht_NR_ENTRIES128.v,dump/ariane/bht_NR_ENTRIES128_speed/1_1_yosys.v,ariane,bht_NR_ENTRIES128,delay,6359.794000,883.06
openROAD_low_level_modules_yosys_v1/gf12/ariane/branch_unit.v,dump/ariane/branch_unit_area/1_1_yosys.v,ariane,branch_unit,area,1752.408000,1670.71
openROAD_low_level_modules_yosys_v1/gf12/ariane/branch_unit.v,dump/ariane/branch_unit_speed/1_1_yosys.v,ariane,branch_unit,delay,2513.434000,1037.04
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/btb_NR_ENTRIES64.v,dump/ariane133/btb_NR_ENTRIES64_area/1_1_yosys.v,ariane133,btb_NR_ENTRIES64,area,37933.728000,3559.43
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lfsr_8bit_00000008.v,dump/ariane133/lfsr_8bit_00000008_area/1_1_yosys.v,ariane133,lfsr_8bit_00000008,area,96.292000,168.56
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/pipe_reg_simple_Depth0.v,dump/ariane133/pipe_reg_simple_Depth0_area/1_1_yosys.v,ariane133,pipe_reg_simple_Depth0,area,0,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/pipe_reg_simple_Depth0.v,dump/ariane133/pipe_reg_simple_Depth0_speed/1_1_yosys.v,ariane133,pipe_reg_simple_Depth0,delay,0,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/pipe_reg_simple_Depth1.v,dump/ariane133/pipe_reg_simple_Depth1_area/1_1_yosys.v,ariane133,pipe_reg_simple_Depth1,area,1048.040000,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/pipe_reg_simple_Depth1.v,dump/ariane133/pipe_reg_simple_Depth1_speed/1_1_yosys.v,ariane133,pipe_reg_simple_Depth1,delay,1048.040000,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/ptw_s00000001.v,dump/ariane133/ptw_s00000001_area/1_1_yosys.v,ariane133,ptw_s00000001,area,1644.944000,1649.10
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/ptw_s00000001.v,dump/ariane133/ptw_s00000001_speed/1_1_yosys.v,ariane133,ptw_s00000001,delay,1599.724000,376.73
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/re_name.v,dump/ariane133/re_name_area/1_1_yosys.v,ariane133,re_name,area,0,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/re_name.v,dump/ariane133/re_name_speed/1_1_yosys.v,ariane133,re_name,delay,0,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/scoreboard_00000008_00000004.v,dump/ariane133/scoreboard_00000008_00000004_area/1_1_yosys.v,ariane133,scoreboard_00000008_00000004,area,0,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/scoreboard_00000008_00000004.v,dump/ariane133/scoreboard_00000008_00000004_speed/1_1_yosys.v,ariane133,scoreboard_00000008_00000004,delay,0,0.0
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/store_buffer.v,dump/ariane133/store_buffer_area/1_1_yosys.v,ariane133,store_buffer,area,14506.842000,4596.96
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/store_buffer.v,dump/ariane133/store_buffer_speed/1_1_yosys.v,ariane133,store_buffer,delay,14449.120000,421.58
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/stream_demux_N_OUP3.v,dump/ariane133/stream_demux_N_OUP3_area/1_1_yosys.v,ariane133,stream_demux_N_OUP3,area,13.034000,88.93
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/stream_demux_N_OUP3.v,dump/ariane133/stream_demux_N_OUP3_speed/1_1_yosys.v,ariane133,stream_demux_N_OUP3,delay,8.778000,131.48
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/stream_mux_N_INP3.v,dump/ariane133/stream_mux_N_INP3_area/1_1_yosys.v,ariane133,stream_mux_N_INP3,area,343.938000,1397.50
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/stream_mux_N_INP3.v,dump/ariane133/stream_mux_N_INP3_speed/1_1_yosys.v,ariane133,stream_mux_N_INP3,delay,353.514000,222.73
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/tag_cmp_4_0000000c_00000008.v,dump/ariane133/tag_cmp_4_0000000c_00000008_area/1_1_yosys.v,ariane133,tag_cmp_4_0000000c_00000008,area,3114.860000,6080.36
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/tag_cmp_4_0000000c_00000008.v,dump/ariane133/tag_cmp_4_0000000c_00000008_speed/1_1_yosys.v,ariane133,tag_cmp_4_0000000c_00000008,delay,2385.488000,565.31
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/tlb_00000010_00000001.v,dump/ariane133/tlb_00000010_00000001_area/1_1_yosys.v,ariane133,tlb_00000010_00000001,area,15221.850000,2825.00
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/tlb_00000010_00000001.v,dump/ariane133/tlb_00000010_00000001_speed/1_1_yosys.v,ariane133,tlb_00000010_00000001,delay,14982.716000,712.82
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/btb_NR_ENTRIES64.v,dump/ariane133/btb_NR_ENTRIES64_speed/1_1_yosys.v,ariane133,btb_NR_ENTRIES64,delay,35489.188000,425.51
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/cache_ctrl_0000000080000000.v,dump/ariane133/cache_ctrl_0000000080000000_area/1_1_yosys.v,ariane133,cache_ctrl_0000000080000000,area,5292.602000,6666.77
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/cache_ctrl_0000000080000000.v,dump/ariane133/cache_ctrl_0000000080000000_speed/1_1_yosys.v,ariane133,cache_ctrl_0000000080000000,delay,3592.330000,508.77
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/commit_stage.v,dump/ariane133/commit_stage_area/1_1_yosys.v,ariane133,commit_stage,area,894.292000,2134.10
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/commit_stage.v,dump/ariane133/commit_stage_speed/1_1_yosys.v,ariane133,commit_stage,delay,748.790000,481.88
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/compressed_decoder.v,dump/ariane133/compressed_decoder_area/1_1_yosys.v,ariane133,compressed_decoder,area,684.950000,1065.37
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/compressed_decoder.v,dump/ariane133/compressed_decoder_speed/1_1_yosys.v,ariane133,compressed_decoder,delay,584.668000,589.55
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/controller.v,dump/ariane133/controller_area/1_1_yosys.v,ariane133,controller,area,33.516000,128.11
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/controller.v,dump/ariane133/controller_speed/1_1_yosys.v,ariane133,controller,delay,29.792000,181.69
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/csr_buffer.v,dump/ariane133/csr_buffer_area/1_1_yosys.v,ariane133,csr_buffer,area,142.310000,203.43
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/csr_buffer.v,dump/ariane133/csr_buffer_speed/1_1_yosys.v,ariane133,csr_buffer,delay,101.080000,132.91
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/csr_regfile_0000000000000000_1.v,dump/ariane133/csr_regfile_0000000000000000_1_area/1_1_yosys.v,ariane133,csr_regfile_0000000000000000_1,area,25083.002000,14961.54
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/csr_regfile_0000000000000000_1.v,dump/ariane133/csr_regfile_0000000000000000_1_speed/1_1_yosys.v,ariane133,csr_regfile_0000000000000000_1,delay,20145.244000,943.87
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/decoder.v,dump/ariane133/decoder_area/1_1_yosys.v,ariane133,decoder,area,935.256000,1544.69
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/decoder.v,dump/ariane133/decoder_speed/1_1_yosys.v,ariane133,decoder,delay,891.100000,656.35
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/fifo_v3_0_00000020_00000001.v,dump/ariane133/fifo_v3_0_00000020_00000001_area/1_1_yosys.v,ariane133,fifo_v3_0_00000020_00000001,area,1773.954000,1771.88
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/fifo_v3_0_00000020_00000001.v,dump/ariane133/fifo_v3_0_00000020_00000001_speed/1_1_yosys.v,ariane133,fifo_v3_0_00000020_00000001,delay,1115.870000,265.78
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/fifo_v3_0_00000020_00000008.v,dump/ariane133/fifo_v3_0_00000020_00000008_area/1_1_yosys.v,ariane133,fifo_v3_0_00000020_00000008,area,12815.880000,4993.76
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/fifo_v3_0_00000020_00000008.v,dump/ariane133/fifo_v3_0_00000020_00000008_speed/1_1_yosys.v,ariane133,fifo_v3_0_00000020_00000008,delay,12438.958000,443.17
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/fifo_v3_DATA_WIDTH2_DEPTH4.v,dump/ariane133/fifo_v3_DATA_WIDTH2_DEPTH4_area/1_1_yosys.v,ariane133,fifo_v3_DATA_WIDTH2_DEPTH4,area,188.062000,259.04
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/fifo_v3_DATA_WIDTH2_DEPTH4.v,dump/ariane133/fifo_v3_DATA_WIDTH2_DEPTH4_speed/1_1_yosys.v,ariane133,fifo_v3_DATA_WIDTH2_DEPTH4,delay,169.974000,357.47
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/instr_realigner.v,dump/ariane133/instr_realigner_area/1_1_yosys.v,ariane133,instr_realigner,area,1052.828000,2205.00
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/instr_realigner.v,dump/ariane133/instr_realigner_speed/1_1_yosys.v,ariane133,instr_realigner,delay,937.384000,407.05
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/instr_scan.v,dump/ariane133/instr_scan_area/1_1_yosys.v,ariane133,instr_scan,area,92.036000,227.92
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/instr_scan.v,dump/ariane133/instr_scan_speed/1_1_yosys.v,ariane133,instr_scan,delay,72.086000,264.12
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lfsr_8bit_00000004.v,dump/ariane133/lfsr_8bit_00000004_area/1_1_yosys.v,ariane133,lfsr_8bit_00000004,area,81.928000,143.60
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lfsr_8bit_00000004.v,dump/ariane133/lfsr_8bit_00000004_speed/1_1_yosys.v,ariane133,lfsr_8bit_00000004,delay,72.884000,189.74
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lfsr_8bit_00000008.v,dump/ariane133/lfsr_8bit_00000008_speed/1_1_yosys.v,ariane133,lfsr_8bit_00000008,delay,80.864000,189.90
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/load_unit.v,dump/ariane133/load_unit_area/1_1_yosys.v,ariane133,load_unit,area,849.072000,938.71
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/load_unit.v,dump/ariane133/load_unit_speed/1_1_yosys.v,ariane133,load_unit,delay,740.278000,533.36
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lsu_bypass.v,dump/ariane133/lsu_bypass_area/1_1_yosys.v,ariane133,lsu_bypass,area,3072.566000,3990.82
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lsu_bypass.v,dump/ariane133/lsu_bypass_speed/1_1_yosys.v,ariane133,lsu_bypass,delay,3124.436000,325.24
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lzc_00000003.v,dump/ariane133/lzc_00000003_area/1_1_yosys.v,ariane133,lzc_00000003,area,5.586000,75.43
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lzc_00000003.v,dump/ariane133/lzc_00000003_speed/1_1_yosys.v,ariane133,lzc_00000003,delay,3.990000,75.50
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lzc_00000004.v,dump/ariane133/lzc_00000004_area/1_1_yosys.v,ariane133,lzc_00000004,area,8.512000,76.01
openROAD_low_level_modules_yosys_v1/nangate45/ariane133/lzc_00000004.v,dump/ariane133/lzc_00000004_speed/1_1_yosys.v,ariane133,lzc_00000004,delay,4.788000,112.28
